INFO 2025-05-08 14:00:13,389 autoreload Watching for file changes with StatReloader
DEBUG 2025-05-08 14:00:13,390 autoreload Waiting for apps ready_event.
DEBUG 2025-05-08 14:00:19,473 autoreload Apps ready_event triggered. Sending autoreload_started signal.
DEBUG 2025-05-08 14:00:19,492 autoreload Watching dir C:\Users\Ayush Kumar\Downloads\qnu_uploadFiles_frontend\backend\myproject\home\templates with glob **/*.
DEBUG 2025-05-08 14:00:19,492 autoreload Watching dir C:\Users\Ayush Kumar\Downloads\qnu_uploadFiles_frontend\backend\myproject\venv\Lib\site-packages\rest_framework\templates with glob **/*.
DEBUG 2025-05-08 14:00:19,493 autoreload Watching dir C:\Users\Ayush Kumar\Downloads\qnu_uploadFiles_frontend\backend\myproject\locale with glob **/*.mo.
DEBUG 2025-05-08 14:00:19,493 autoreload Watching dir C:\Users\Ayush Kumar\Downloads\qnu_uploadFiles_frontend\backend\myproject\venv\Lib\site-packages\corsheaders\locale with glob **/*.mo.
DEBUG 2025-05-08 14:00:19,493 autoreload Watching dir C:\Users\Ayush Kumar\Downloads\qnu_uploadFiles_frontend\backend\myproject\venv\Lib\site-packages\channels\locale with glob **/*.mo.
DEBUG 2025-05-08 14:00:19,493 autoreload Watching dir C:\Users\Ayush Kumar\Downloads\qnu_uploadFiles_frontend\backend\myproject\home\locale with glob **/*.mo.
DEBUG 2025-05-08 14:00:19,493 autoreload Watching dir C:\Users\Ayush Kumar\Downloads\qnu_uploadFiles_frontend\backend\myproject\venv\Lib\site-packages\rest_framework\locale with glob **/*.mo.
DEBUG 2025-05-08 14:00:19,493 autoreload Watching dir C:\Users\Ayush Kumar\Downloads\qnu_uploadFiles_frontend\backend\myproject\accounts\locale with glob **/*.mo.
DEBUG 2025-05-08 14:00:19,493 autoreload Watching dir C:\Users\Ayush Kumar\Downloads\qnu_uploadFiles_frontend\backend\myproject\reports\locale with glob **/*.mo.
DEBUG 2025-05-08 14:00:19,493 autoreload Watching dir C:\Users\Ayush Kumar\Downloads\qnu_uploadFiles_frontend\backend\myproject\venv\Lib\site-packages\rest_framework_simplejwt\token_blacklist\locale with glob **/*.mo.
DEBUG 2025-05-08 14:00:19,494 autoreload Watching dir C:\Users\Ayush Kumar\Downloads\qnu_uploadFiles_frontend\backend\myproject\venv\Lib\site-packages\rest_framework\authtoken\locale with glob **/*.mo.
DEBUG 2025-05-08 14:00:19,571 utils (0.000) 
            SELECT name, type FROM sqlite_master
            WHERE type in ('table', 'view') AND NOT name='sqlite_sequence'
            ORDER BY name; args=None; alias=default
DEBUG 2025-05-08 14:00:19,575 utils (0.000) SELECT "django_migrations"."id", "django_migrations"."app", "django_migrations"."name", "django_migrations"."applied" FROM "django_migrations"; args=(); alias=default
DEBUG 2025-05-08 14:00:20,640 autoreload File C:\Users\Ayush Kumar\Downloads\qnu_uploadFiles_frontend\backend\myproject\venv\Lib\site-packages\matplotlib\scale.py first seen with mtime 1743334077.743651
DEBUG 2025-05-08 14:00:20,640 autoreload File C:\Users\Ayush Kumar\Downloads\qnu_uploadFiles_frontend\backend\myproject\venv\Lib\site-packages\matplotlib\tri\_tricontour.py first seen with mtime 1743334078.0598772
